iter	Logloss
0	0.674416867
1	0.6589618306
2	0.6431241221
3	0.6284529911
4	0.6129532453
5	0.597937513
6	0.5850664111
7	0.5726464681
8	0.5614820135
9	0.5489096859
10	0.5374368378
11	0.5280763074
12	0.5173754422
13	0.5079863926
14	0.4980260783
15	0.4892095466
16	0.4809741021
17	0.4730139255
18	0.4648184147
19	0.4578425569
20	0.4497356859
21	0.4417046516
22	0.4357947075
23	0.4301732748
24	0.4239439631
25	0.4174738301
26	0.4114417818
27	0.406238213
28	0.4003075061
29	0.3958055367
30	0.3904956475
31	0.3857375811
32	0.3803509745
33	0.3752144359
34	0.3712910135
35	0.3669848511
36	0.363279421
37	0.3595374443
38	0.3563959966
39	0.3533739096
40	0.3496081557
41	0.3460395974
42	0.3432173141
43	0.3402411559
44	0.3372239802
45	0.3343460134
46	0.332393261
47	0.3296874594
48	0.3278004501
49	0.324975254
50	0.3231924652
51	0.3196865001
52	0.3176596723
53	0.3156902216
54	0.3131759254
55	0.3112773324
56	0.3087116203
57	0.3067402729
58	0.3045398234
59	0.3030522862
60	0.3016648711
61	0.3001234793
62	0.2985194944
63	0.2966236788
64	0.2954448061
65	0.2939716978
66	0.2925833682
67	0.2913861714
68	0.2897100417
69	0.2879274222
70	0.2865342152
71	0.2855370254
72	0.2843830138
73	0.2828462285
74	0.2810234214
75	0.2799052959
76	0.2790465022
77	0.2775247555
78	0.2764338113
79	0.2757802407
80	0.2745255313
81	0.2735343027
82	0.272762252
83	0.2721872446
84	0.2715199732
85	0.2701126082
86	0.2691023781
87	0.268210391
88	0.267450466
89	0.2664584246
90	0.2654940555
91	0.2644972552
92	0.2638391628
93	0.2631053692
94	0.2623693401
95	0.2612638653
96	0.2604858195
97	0.2597258438
98	0.2588768048
99	0.2584380087
100	0.25733123
101	0.2565498648
102	0.2560680529
103	0.2555313872
104	0.2546434646
105	0.2540446122
106	0.2530198177
107	0.2521918971
108	0.2515420691
109	0.2507582653
110	0.2503941543
111	0.2499486858
112	0.2492912538
113	0.2486874224
114	0.248146997
115	0.2475021311
116	0.246853929
117	0.2460508696
118	0.2455247885
119	0.2446890608
120	0.2442172915
121	0.2437808495
122	0.2434432933
