iter	Passed	Remaining
0	5	5361
1	10	5445
2	16	5496
3	21	5319
4	25	5149
5	30	5104
6	35	5036
7	40	4976
8	46	5076
9	51	5108
10	56	5084
11	61	5064
12	66	5031
13	71	5044
14	76	5054
15	82	5091
16	89	5152
17	94	5155
18	99	5156
19	105	5174
20	110	5153
21	116	5160
22	121	5170
23	127	5179
24	132	5166
25	137	5158
26	143	5156
27	147	5130
28	152	5118
29	157	5084
30	161	5060
31	166	5049
32	171	5028
33	176	5010
34	181	5000
35	186	4999
36	191	4988
37	196	4970
38	201	4956
39	205	4941
40	210	4926
41	215	4917
42	220	4911
43	225	4896
44	230	4888
45	234	4873
46	239	4856
47	244	4851
48	249	4843
49	254	4826
50	258	4806
51	262	4793
52	267	4775
53	272	4765
54	277	4762
55	281	4752
56	286	4740
57	291	4730
58	295	4716
59	300	4708
60	305	4700
61	309	4684
62	314	4675
63	319	4668
64	324	4662
65	328	4653
66	333	4648
67	338	4640
68	343	4630
69	348	4629
70	352	4615
71	357	4610
72	362	4603
73	367	4597
74	372	4596
75	377	4587
76	382	4583
77	387	4581
78	392	4572
79	397	4565
80	401	4559
81	406	4547
82	411	4544
83	416	4541
84	421	4535
85	426	4533
86	431	4531
87	437	4529
88	442	4526
89	447	4519
90	451	4514
91	456	4509
92	461	4501
93	466	4496
94	471	4490
95	476	4485
96	481	4479
97	485	4470
98	490	4465
99	495	4459
100	500	4454
101	504	4445
102	510	4443
103	515	4441
104	520	4438
105	525	4430
106	530	4425
107	535	4421
108	539	4414
109	544	4408
110	550	4405
111	555	4406
112	560	4398
113	565	4393
114	570	4386
115	575	4382
116	580	4382
117	585	4378
118	590	4373
119	595	4367
120	600	4363
121	605	4360
122	610	4356
123	615	4351
124	620	4345
125	626	4346
126	631	4339
127	636	4333
128	640	4327
129	645	4318
130	650	4312
131	654	4306
132	659	4299
133	664	4293
134	669	4287
135	674	4283
136	679	4277
137	684	4274
138	688	4264
139	693	4257
140	697	4247
141	699	4226
142	703	4215
143	707	4205
144	711	4193
145	715	4187
146	720	4178
147	724	4172
148	728	4161
149	733	4154
150	737	4146
151	741	4138
152	746	4130
153	750	4122
154	755	4116
155	759	4110
156	764	4103
157	768	4095
158	773	4089
159	777	4082
160	782	4077
161	787	4072
162	792	4070
163	797	4064
164	802	4058
165	806	4052
166	811	4045
167	815	4040
168	820	4033
169	825	4030
170	830	4024
171	834	4019
172	839	4013
173	844	4006
174	848	4000
175	853	3994
176	858	3989
177	863	3986
178	867	3977
179	871	3970
180	875	3963
181	880	3958
182	885	3953
183	890	3949
184	895	3944
185	899	3937
186	904	3931
187	908	3925
188	913	3919
189	917	3910
190	921	3905
191	926	3897
192	930	3889
193	934	3881
194	938	3873
195	942	3866
196	947	3860
197	951	3854
198	955	3847
199	960	3840
200	964	3833
201	969	3828
202	973	3823
203	978	3816
204	983	3812
205	987	3805
206	991	3798
207	995	3792
208	999	3784
209	1004	3778
210	1008	3772
211	1013	3767
212	1018	3762
213	1022	3755
214	1027	3750
215	1031	3744
216	1036	3738
217	1040	3731
218	1044	3726
219	1049	3720
220	1053	3713
221	1057	3707
222	1061	3699
223	1066	3693
224	1070	3687
225	1075	3683
226	1080	3678
227	1084	3671
228	1088	3664
229	1092	3657
230	1096	3651
231	1101	3644
232	1105	3638
233	1109	3632
234	1114	3626
235	1118	3620
236	1122	3614
237	1126	3608
238	1131	3601
239	1135	3594
240	1139	3589
241	1143	3583
242	1147	3576
243	1152	3571
244	1157	3565
245	1161	3558
246	1165	3552
247	1169	3547
248	1173	3540
249	1178	3535
250	1183	3530
251	1187	3524
252	1191	3518
253	1196	3512
254	1200	3507
255	1204	3501
256	1208	3495
257	1214	3492
258	1219	3489
259	1224	3485
260	1229	3481
261	1234	3476
262	1239	3472
263	1244	3469
264	1249	3464
265	1253	3459
266	1258	3455
267	1263	3451
268	1268	3446
269	1272	3441
270	1277	3437
271	1282	3432
272	1287	3427
273	1292	3423
274	1296	3418
275	1301	3414
276	1306	3411
277	1311	3405
278	1316	3401
279	1321	3397
280	1326	3392
281	1331	3389
282	1336	3385
283	1341	3381
284	1345	3375
285	1349	3369
286	1355	3368
287	1360	3362
288	1365	3358
289	1385	3392
290	1390	3387
291	1394	3380
292	1399	3377
293	1404	3371
294	1409	3367
295	1413	3362
296	1418	3357
297	1423	3352
298	1427	3347
299	1432	3342
300	1436	3337
301	1441	3332
302	1446	3327
303	1451	3323
304	1456	3317
305	1461	3313
306	1465	3307
307	1469	3302
308	1475	3298
309	1479	3293
310	1484	3287
311	1488	3281
312	1492	3275
313	1496	3268
314	1500	3263
315	1505	3258
316	1509	3253
317	1514	3248
318	1519	3243
319	1524	3238
320	1528	3233
321	1533	3228
322	1538	3223
323	1542	3219
